sentence,label
卡的要死腾讯出品必属辣鸡,negative
还可以吧，玩了一个星期不到的世界星期43级了（熬夜玩的🌝），事务所越到后面经验越多。衣服也可以在事务所里面闯关得，活动这个结束后又来一个，衣服饰品做了又做，另外——偶是很穷的，绝壁没有充过一分钱！！！但是漂亮的衣服光在活动里面就可以得一大堆，活动期间签到的衣服也很好看。说实话：我是把这个游戏当做换装来玩的……推荐下载，虽然说bug还是免不了的，但是我希望它越做越好。标明：我不是老玩家，也不是水军，我只是来打尻的……嘻嘻嘻。😊,positive
还不容易下载完成，但是为什么一直卡在资源更新那里，就没有反应了,positive
回忆呀！,positive
可以,positive
以前玩过全民炫舞，我嘞个乖乖，那真的是音游吗，服装3s外加强力好友加分，再来几个道具，随便按两下也比啥都没有的人全按中高个十几万，当然，前提是没死。后来我凑了些砖石抽到了两件初始s的装扮，一看升到3s的砖石和材料，妈呀………………果真还是腾讯游戏，然后不知哪天，居然等不上去了，一查才知道，关服了。当然那个憋屈啊，用心投诉到一个游戏，策划却为了赚钱不择手段，到最后得不到玩家的支持，索性关闭了游戏，最受伤的是我们这种微氪玩家。当然，我也知道别人关了服也不会赔给你一分一毫，我只能自认倒霉爱上了音游。后来我又下载了恋舞一类的音游，我才知道到只靠技术论输赢是这么的爽。而今我又下载了这个游戏，一看到那些背诵式的玩法和破坏平衡的加分技能，我只能说，炫舞只是个代言词，不会持续太久，我先卸了，再见。以上纯属个人观点，有什么不同的观点请勿喷～～,negative
高一开始玩的端游，一直玩到25岁。现在还是单身，真惨啊。,positive
可恶，我老婆都没了,negative
这游戏现在世界频道全是广告，我又不想买喇叭，以前还可以在世界频道说说话，互赞啥的,negative
因评价参考价值不足被折叠,negative
还要出示重要信息，万一身份泄漏怎么办,negative
下载在哪里？,positive
"作为一款强调社交功能的音乐类游戏，这个画面真的丑哭。,人物模型是真的丑爆。真的。到底想要二头身还是想要真人比例？,服务器的问题也不多说了。挤了很久才登进去。,跳舞动作。。也一样难看的紧。很僵硬，甚至连延续端游的动作都没有做到。更别提有什么突破了。,系统的话。。马马虎虎？但是也没什么感觉，界面很平庸，也没有为了维持高段数连击的紧张感，我全程连击界面都没什么起伏，也没什么耳目一新的感觉。。。,衣服什么的。。先不说模型，就这个图片，就感觉回到了当时玩qq堂的时候那个审美。。真的只是单纯的满眼亮晶晶。。。卖相全靠闪。,还不如把这个工作交给天美或者光子呢。。哪怕掏点钱，我们也是愿意的。君不见为了恋与制作人无数玩家钱包竞折腰啊。。只要游戏品质过的了关，我们还是愿意买账的。,真是毁童年系列。。。,不说了不说了。。说多了都挺难过的。。,可能把钱都给陈伟霆了吧。。难受想哭。",negative
为什么我的预约礼包领不了。。。,negative
动不动就卡了，动都动不了，回到主界面还会有音乐响,negative
"哎。期待值5星。玩后感两星。人物太纸片人物是真的太纸片了！舞蹈太尬！光标颜色太艳。点击框的颜色能不能换成别的颜色。全部都是一样的颜色。光标一密集有些都点不到。眼睛看久了累得很。。,节奏跟音乐也对不上…学学节奏大师。。。",negative
直接和QQ飞车结合算了,negative
制作的水准真的跟不上q飞车手游和绝地求生手游麻烦开发商再用点心,positive
"对不起只能给2星,槽点太多，网易爸爸最近虽然高产似母猪，但是代理的劲舞团真是....一言难尽.,其实劲舞团不是我的童年记忆，毕竟从小手残玩不好这类游戏，而且当年觉得这个太非主流，就没玩，反而是跟基友一起玩了蔡依林代言的唯舞独尊...,因为想感受一把大家的童年，所以还是毅然下载！,游戏模式分为传统的上下左右和类似OSU！的模式，对我来说OSU那种更简单。。,之前看Taper的评论，各种杀马特非主流葬爱家族，还以为是大家搞笑的，结果创建人物时系统随机的id全是火星文exome？？？,聊天窗口始终出现在屏幕上，哪怕在玩游戏的时候。,满满当当的UI按钮充斥着整个手机屏幕，以至于在房间里时都看不到部分玩家的名字(这还怎么撩妹嘛名字都看不到了😊,公屏窗口全是“聘夫”“找女友”之类的字眼，想好好体验游戏本身都无法，环境太差。。,该好好做的音乐界面，UI粗糙得不行，最高画质下我竟然看到了马赛克。。。,拜拜这个游戏太对不起音游了还不如以前的劲舞团呢",negative
我5.9寸的手机你让我横屏玩！操作感极差！建议适应大屏手机！,negative
我只想说卖的是情怀，为什么你排位里不弄传统模式的排位？三星给的就是情怀了。,negative
更新更了2个半小时一半都没更完，直接卸载了，再见啦炫舞,negative
身为一个舞蹈生我表示卡点好尴尬，还有人物名字居然是原谅色，顺便吐槽僵硬的人物动作和衣服,positive
弹珠模式满分，超喜欢，泡泡模式反而感觉有点乱，不适合。音乐就那样，有喜欢的也有讨厌的，不玩讨厌的也罢，排位赛什么的主要看曝气时机，然后一些乱七八糟的模式懒得碰。本来触控是有问题的，但是之后可以调整延时以后也就满分了。好游戏。,positive
"说实话不下载都可以评论真的好吗？,我也不是喷腾讯，,总感觉腾讯游戏毫无新意，全靠炒冷饭。",negative
我很喜欢玩端游，但是不是太喜欢这个，这个操作方式让我觉得这就是一个换了个画面的节奏大师，我也不知道为什么要放弃端游的操作方式，我觉得手机是可以做到的。。。。还是比较失望的,negative
反正我只知道玩这个游戏是找妹子的,positive
今天能出来嘛？不会跳票吧。,positive
"真特么一星也不想给，几年经典毁于腾讯,这工作室真的是服气，传统模式体验极差,其他模式手感垃圾的一匹，这样的游戏除了情怀你还能拿的出什么，呸!",negative
因违反评价条例规定被折叠,negative
"怎么说呢，就感觉有些判定很迷，比如说弹珠模式需要滑动那个判定，有时候我点就是perfect，但是有时候真的滑动就变成了miss，有点接受无能，还有就是showtime有些动作超级尴尬的，特别是男生，能不能优化下，还是挺喜欢的,———3.15分割线——,我实在忍不住想降一颗星了，排位匹配机制真不知道你们怎么做的，今早我就玩了两局，全部匹配到比我高一个大段的，是一个大段喔？？而且有一局很夸张的匹配到两个，也就是现在段位低，第三名不扣分，段位高一点你们在不优化匹配机制试试…真的可以说是从原来的很期待，变得越来越失望了",negative
吐槽游戏简单的各位大佬......麻烦你们上一张自己9星以上歌曲allprefect的截图再吹牛好吗......我被事务所的高难度歌曲锤的不要不要的。。。。。,positive
今天不是上线吗？具体几点呢,positive
iPhonexsmax适配不行，左边被刘海遮挡厉害。以前x就不会,positive
模式玩法，社交互动，等等各方面都很不错，值得一提的是自由捏脸是真的用心了，只不过一些特写以及动作，搭配这非萝莉又非成女的身形总是莫名的尴尬，建议出个体型选择吧，一些舞蹈动作以及特写成专属，这样会好点，总之，还是满心送给策划吧，希望游戏往后不要出现太多圈钱活动就是真的很好了。,positive
我一个男孩为什么要点进来(˘•ω•˘),positive
游戏画面很好，终于可以手游啦！,positive
加载了几次都加载不出来。这是在考验我的耐心？,negative
听说快测试了,positive
什么***，我之前见都没见过这玩意就说我预约了，自动给我下了个安装包，差评一星都不想给,negative
挺好玩的，只是感觉服装有点少，还不知道之后有没有宠物呢,positive
同大区找不到扣扣好友是什么情况,positive
"哇你们这个抽奖是真的难受啊，礼盒衣服也太难抽了吧前前后后氪了挺多的，就是重复的头发鞋子翅膀...我....emmm,其他（目前）我感觉挺好的，(*´∀`)skr~,就是开衣服的几率也太低了吧(¨̮)",positive
什么鬼,negative
"好好做音游就好了嘛…,这个尬舞，仿佛一群关晓彤在台上跳。,辣眼睛辣眼睛。,认真讲一下，真的四不像。,音游吧，不能调倍速，不能调延迟，过关不能选歌。,炫舞吧，跳那样我三颗星都不给，一颗星还是凭借人道主义爱。,地图稀里哗啦乱七八糟，看名字压根不知道都是干啥的。,反应卡顿。,别的都不想说了，反正已卸。",negative
要是能跟端游炫舞跳舞同神步就跟好玩了,positive
"从前，我以为把山寨叫做微创新已经够不要脸了，,后来才发现，居然还有把抄袭叫做首创这种脸皮破满大强化的牛逼操作。,企鹅带你发现新下限，,真是长见识呢。",negative
"扣一分，因为画风尴尬，让人无法接受。这是最致命的一点，而且服装太难看，商场里的服装真的无法接受，没有让我有要买的冲动。而且有些衣服真的蜜汁尴尬。,再扣一分，是因为，操作不流畅，有点卡顿（当然卡顿一定不是我的手机的问题），舞蹈我就不说了，自己看着都尴尬。有些模式也类似节奏大师，类似也就罢了，居然还没有节奏大师做的好。,说实话，我留下这三颗星，只是怀旧而已。没有任何别的理由。,想想以前的炫舞，无论是舞台布置，灯光效果，舞蹈动作，操作，都很好，真的无比的怀念。,其实前一段时间的飞车手游版。就做的很不错啊，为什么炫舞成这样了？我其实看到飞车做的那么好觉得炫舞一定差不了，但是我现在真的很失望。,如果是为了利益，那你们就真是把玩家当傻子了。你摸着良心，你们对得起满怀期待的玩家们吗？,但是如果制作组有真的非常认真的负责的在做炫舞手游版，首先我非常敬佩你们，其次我想说这次的效果确实不好，但是作为一个老玩家我依旧会支持炫舞。只是这个炫舞手游版，我不会再玩了，等到有好的版本我一定会去玩。,以上只是个人观点，如果有观点相同，点赞支持。,如果观点不同，或者认为我是水军的，真心的希望你去玩一下别的优秀的音游，还有pc版炫舞，横向纵向都比较一下，你一定会有答案。",negative
"emmm,男女比例有些失调，找CP不太容易",positive
提意见然而并无卵用每次官方敷衍话……什么已经反馈了每次都反馈反馈你倒是更新哈啥玩意………浪费时间的破游戏,negative
太失望了，端游老玩家一直都在玩，手游一上线就下载了，游戏体验一点都不好，服务器还爆满了，，，，,negative
终于等到手游出来了，测试了那么久。等的也是really心累。好在已经出来了。有很多漂亮衣服。游戏尬舞模式也很新颖。最主要的是还可以捏脸。两个字:喜欢。,positive
不错,positive
什么？这游戏还没凉？,positive
人渣,negative
之前一直是炫舞端游的老玩家，认识了许多的朋友，这么多年没有玩了。他们也不知道去哪里，联系不到，现在看手游开了，不知道还能不能碰到他们或者新的朋友，希望手游能好好做，不要辜负我们老玩家的希望，不要搞成氪金，一波的游戏,positive
我玩过太多炫舞类型的音游了，这是我见过唯一一款不以传统模式为主的音游！画质画面很好。除此之外我真的一点也不想选择这个游戏。,negative
这是我玩过最好的游戏,positive
节奏穿模动作少，就这三点改了感觉就棒棒了。,positive
服啦别人那些bug抽买的衣服居然还在，心里极度不平衡886删游戏了,negative
为什么现在无法用手机下载了？,positive
这游戏各方面做的都很好，就是歌太难听了，实在受不了玩到50音乐家就卸了,negative
什么都好就是咋这么卡啊我以为只有我自己卡但是也不是网的事跟内存的事我用流量玩就卡看了评论发现所有人都卡其他的挺好的衣服不管多少钱买了就是永久的跟别的舞蹈游戏比起来好太多就是卡是真卡啊！！,negative
什么时候可以玩啊,positive
很好玩,positive
因违反评价条例规定被折叠,negative
特意建号过来评价！系统错发10亿钻石的BUG说是修复解决删除部分玩家的道具！然而到现在还有很多玩家的喇叭抽奖券没有被删除！请问游戏的公平性在哪？官方解决问题就这种效率？对玩家的保证就跟放P一样？那我们还充值干什么？充值有什么意义？跟10亿大佬对氪？垃圾游戏！已申请IOS全额退款！一首凉凉不用谢,negative
"音游狗一枚，一星给音乐，一星给画面，一星给情怀。,虽然曾风靡一时的QQ炫舞端游玩的不多，但也是从那里喜欢上了音游，节奏大师、古树旋律、cytus、兰空VOEZ、同步音律什么的都接触过，所以有小小的资格说一下游戏吧✧୧(๑=̴̀⌄=̴́๑)૭✧,1.传统的游戏模式没有了，上下左右的那个模式呢？很多人就是为了那个来的，结果全是很熟悉的其他模式。唯一有变化的是第二个模式，但其他的影子还在，那么我为什么要来玩这个而不去玩其他的？,2.卡，很卡，非常卡。我的手机应该还算不错吧，但换界面卡，打歌时候卡，那个自由模式更卡。要知道，游戏卡会让人非常难受，希望能优化。,3.不提换装，只谈打歌，判定我个人感觉有点奇怪。音游是要根据节奏旋律来打歌，而在这里只需要看，看到落到那个地方就可以了。固定的位置会把游戏难度下降，这样会流失以打歌为目的的玩家。还有一个就是技能问题，技能最多就是可以抵消miss，或者将失误的cool换成great，而且一局之内是有限的，而这里居然有可以提高游戏分数的技能，游戏的最高分数应该是固定的，所以对于音游来说，公平是最重要的。,QQ炫舞是一个非常棒的游戏，我希望从那里继承来的不只是换装系统，不要成为一个卖情怀的游戏。",negative
腾讯有审美么…专注乡村非主流……,negative
游戏不错，很良心！就是………卡呀，一进游戏各种的的卡(界面卡，广场卡，最后打歌更是卡的一批)实在是受不了，希望官方好好优化，不想放弃这个游戏呀！官方加油～比心,positive
"只见我手机出现一片云朵，上面显示出了四个字母，手机随机想起“TIMI”,串台了，（尬）",positive
大约什么时候公测,positive
言简意赅。。啥时候把CT能加个反键？话少会不会不理我？其实更新了捏脸我觉得没有之前好看了咋整都不对不知道为啥。好了说完了其他倒可以玩没有什么很大意见。CT加反！！！,positive
"比赛界面的那个聊天窗口能不能调下位置，往上一点，玩高星级的时候经常会误碰，毕竟两只手都贴在屏幕上，误碰了之后自然就连着几个miss，o>_<o立马从第一到第四,还有这游戏看不到游戏好友的上线情况，想删掉不常玩的都没办法(隔壁王者，飞车都是一出就有的)，希望炫舞也越来越完美！",positive
非常非常好虽然冒着手机卡爆危险可是我觉得真的非常好玩为了这个游戏。我宁愿把全部游戏都删掉甚至是我玩了七年的迷你世界感谢制作人非常感谢,positive
"当年我就是个手残党，现在是手残癌。,这游戏让我深深感觉到了世界的恶意（︶︿︶）",negative
"技术不够，爆气来凑~我也要开始做爆气哥了，问问大佬前辈们在哪里可以找到谱子背背qwq,游戏还不错，偏向交际休闲，竞技方面就轻点，每天随便打打排位匹配，然后换换装聊聊天就行了。",positive
内测玩家，个人感受，还记得以前那个全民炫舞吗？基本上就是那个风格，但有些变动，比如主页展示是在自家阳台俯瞰街道风景，衣服好看的要花钱去买（永久），当然还可以收集碎片制作，衣服风格的话我个人觉得非主流风炫舞风，当然好看的也有我知道的很少。模式挺多的，场景比以前那个丰富很多，打击感也还可以，可以捏脸化妆，还有个钓鱼获得贝壳的任务，每天有限制，但每次去抽基本上都有衣服虽然不是什么高级的，关于抽奖有四个模式吧（记不清大概是），非洲人不解释，抽奖的话可以累积获得什么水晶可以兑换衣服道具啥的，怪好看有特效的那种。其他的没想起来，因为内测就玩了七天，充了点小钱，我个人实在不太长远于这种炫舞游戏，还是纯粹的音游适合我所以就弃了。不过我说的这些仅仅限于我参加内测时的个人感受。,positive
网络辣鸡，人物造型是真的丑啊，满满的页游感，虽然说天美坑钱，但人家天美建模好看啊，这运营商，服务器垃圾，网络辣鸡，人物丑，歌曲就是鹿晗那些歌，恶不恶心,negative
很好玩,positive
腾讯最近都在做回忆类游戏嘛,positive
更新明明等好了他卻又說要更,negative
"作为社交游戏还行吧,音游方面谱面质量参差不齐，我觉得几个官谱做谱人还是需要学习一下,星动5k和泡泡如果按键距离太短有几率miss,广告太多了，一天不玩第二天打开就几十个广告申请好友，点拒绝都把玩的心情点没了,我要看衣服爆率，你快给我看爆率,希望游戏内可以屏蔽特效（装备的），一局三个翅膀开场的note肯定要卡,关于那个做谱器啊，实在是太烂了，希望重做一个，需要改善的地方真的多的一比,弹指火球战队欢迎你们！！！,活力飞扬Vatorphic丶悠久",negative
14号了怎么还不出,positive
因为是腾讯游戏，就想打一分，这个理由充分吗，虽然我也在玩还微氪了一下,negative
前两千。。。,positive
端转手改得不错，还原度高以外还有很多新元素，唯一不适应的可能是手机操作上的生疏感吧，不过时间长就好了,positive
"勉勉强强给个三星，端游玩家。但是端游没玩多久就卸了。,玩手游是因为一直暗恋的男孩子他玩了，于是，也跟着一起玩啦啦啦啦啦(●'◡'●)ﾉ,曝气扣0.5，技能扣0.5，有时候按键和音乐节拍对不上1分。,手上拿个包包，杖杖的就会pa的一下从你脑门穿过去“淦？？！”,我的小哥哥都抽到情侣套装了我怎么还没抽到啊...哭...我好不容易开了情侣系统他怎么有cp了啊...哭...我随随便便拉了个cp他怎么又分手了啊...笑！！！开心！！！....然后人家就不要我站他旁边......可能是我不够优秀吧˃̣̣̥᷄⌓˂̣̣̥᷅,然后坑蒙拐骗加嘤嘤嘤和各种颜文字进了他的舞团液！结果辛辛苦苦打排位打到比他还高他生气(其实是假装的(°ー°〃)了....我这...于是和他一起排位，结果lj曝气搞不过人，给他掉了星星...(*꒦ິ⌓꒦ີ)内心:他他他会不会生气啊，他他他会不会难过啊bulabulabula...,(于是找他朋友悄咪咪借了密码帮他打到那个啥的段位了),(´-ι_-｀)然后就感觉没有事情可以做，人家也好几天没上线...卸了卸了。",negative
note对不上节奏先不说了，这滑键判定也太僵硬太迷了……combo每次都是断在滑键上,negative
"爆气就不说了，背谱我真的不行。有一次连续遇见两次同一首歌，我在开心的同时，突然想起，刚才最长的地方在哪里？妈呀已经忘了…。,平时闪退就算了。打排位的时候闪退真的让人生气，尤其是双排，不但自己气愤还坑了队友一起掉分，单排的时候跳到一半或者是歌曲开始之前被卡出去，居然都要扣分，我都没跳你扣我分，你们的bug让我们玩家背锅？棒棒的。,箱子爆率不多说，非酋的我已经习惯了。,还有我想问一句那个王心凌的一点点真的六星吗。手动滑稽哈哈哈哈哈哈哈哈哈。",negative
因违反评价条例规定被折叠,negative
不错，好累劳拉了,positive
马xx，我腾讯就是要把当年火爆的游戏做成手游再火一遍。,positive
说真的，如果是炫舞时代手游，我会更有兴趣。,negative
画风是个严重的问题，对比qq飞车，简直一个天一个地……我还怀疑我下错了，而且不灵敏，有问题,negative
不错不错，,positive
"建议楼上基本都提完了，我只说一点，聊天界面可否优化一下？打字不方便就算了，还特容易发错频道，你们理解一个吃瓜群众总是把瓜发到世界或者喇叭的尴尬吗？？？,这只是来自一个从3月14玩到4月30的玩家的小小的建议，卸载原因是喜欢的男孩子和他喜欢的女孩子结婚并且奔现了，所以这游戏是真玩不下去了……祝你们越来越好66",negative
这个游戏不错。,positive
我感觉还可以，对于我这个新手来说……至于你们说的服务器爆炸，网络掉线等等所有问题我都没遇到……,positive
同醉咯屡破网图网团体到都,positive
一点节奏感都没有，舞蹈和歌曲一点都不符合,negative
"从内测有幸拿到测试资格开始，一直玩到了现在，说说自己的感想吧。就说说画风，由于每个人的审美都不同，因此属于仁者见仁的东西。我个人是比较喜欢这种比较小清新的素朴风格界面，看着很舒服，太复杂会有一种压迫感。,看到很多评论都在讨论人物建模，实话说有些配置较差的手机看着的确会比较粗糙，但在一些高配手机上的表现就非常不错了，我想这也是为了保证游戏能流畅运行做出的必要的改进吧。,而舞台的背景和特效设计，也算是继承了端游版的华丽风格，整体做的还是蛮炫丽的。不过有时候特效太过，有点闪眼睛…",positive
玩了一晚上，感觉还不错，唯一的缺点就是网络卡的不行，不管我用流量还是wifi都卡，排位进去了就卡出来了，只能玩玩普通的。不要在意我的游戏时常，因为我从来不会边打开TapTap边玩游戏。,positive
可不可以加上生孩子的模式？,positive
游戏还可以，可是大多数人开个房在那里聊天不开始游戏，快速进入很多房都是这样，真的浪费时间，官方应该设置好全部人已准备后超过多少秒就自动开始游戏。玩家异性都在你撩我，我撩你，这是游戏吗？聊天软件吧，晕！只想好好的玩个游戏，不是说不能聊天，我试过等了很久都不开始，我问：开始没。竟然回答不开始！,negative
游戏体验感很棒,positive
？？？腾讯是欺负我偶像大师灰姑娘在中国没人气？,negative
不知道是什麼問題,negative
安装不上,negative
起不到约炮作用的跳舞游戏还能有什么意义？？,negative
五星好评，只求游戏不要和内测时候冒出来一堆电脑人就好。,positive
"怎么说QQ炫舞，舞，这游戏我还真没注意舞蹈这东西，全程都是在点点点点点。,画面：★★☆☆☆,不能给多了，以目前的市面上的大型游戏而言，这游戏的角色造型塑造一个字，渣！！完全满足不了玩家在个性化上的追求，没有捏脸系统，人物丑的一匹。明明卖点是人物，但却根本没在意到这一点。无论一个蛋糕怎么好吃，前提都必须要有一个精美的外观，但这个蛋糕完全就是个坨翔一样。谁会去碰啊。,玩法：★☆☆☆☆,从游戏开场就想开始吐槽，一开场就足足十几秒看两个丑爆的角色在喝茶装逼，连跳过功能都没有，就想知道核心在这两个人物身上吗？不在吧。还不如开场来段舞蹈都比这开头好。,操作说一下，这游戏是QQ音速吗？NO！是纯音乐游戏吗？NO！这明明是个音乐跟舞蹈的游戏，结果全程都是在点点点，角色跳什么舞没注意，做什么动作没注意，音乐跟按键也完全不匹配，给人感觉完全就是个音乐游戏，本应该是按完键后，观看角色灵动的舞蹈才对的。结果懵逼了。,体验半小时，游戏已卸载。没有情怀，没有感觉，一个字，差！希望CP能优化好吧，三星不多。",negative
我是从端游过来的，我相信这游戏一大半都是带着情怀来玩，可是我在这游戏看到了什么？无限次的往里面充钱，几天跟新一次盒子抽奖，还有邮轮，各种变着法的坑钱,positive
对于端游炫舞老玩家来说，一般的舞蹈类游戏这个算是做的可以的了，游戏体验还不错,negative
服务器敢再差点么？一上午到现在。大多数时间都是在反复的登陆。要不就是根本进不去，一直显示服务器人数上限已满。能够好好完成结算的根本没有几次。基本都是到结算界面就掉线，要不就是卡死。就连领个每日活跃度奖励都能卡死。,negative
为什么没有区？？？那我下了有什么用？？？,negative
还不错啊,positive
游戏开放度真高，居然可以下载编辑器自制谱面，虽然我不玩音乐，但是论坛上大神的作品拿来体验真心不错。,positive
很期待公测，很激动，,positive
玩了1个多月了吧这次十周年臻品返场打折让很多大佬都受不了那当时何必花2010个钻去开那些盒子？你们就是在暗示以前开的都是zz了？返场可以毕竟很多人没开到会觉得可惜原价放出就行你打折不是一种脑残行为吗就是逼别人退游还是你觉得我们充了这么多钱舍不得？做手游的良心在哪？还有十亿事件说是都解决了还有好多人直接兑换？也没有回收。本来bug就多现在连换装都不让人舒服了？还有QQ好友隐身功能只要下线在上线还是要点勾或者一段时间就自动取消了。发表心情也不可以删除上百度查有人问客服。客服说一段时间后自动消失。什么叫一段时间？？？？还有心动问题。互赠衣服加的多我没什么意见。那端游上的浪漫模式呢？双人热舞也可以成为刷心动的一个点可以加的少。约会模式不想说基本上玩几次就不想玩了…你们既然不能把竞技做到完美。最起码优化细节还有抽奖机制弄好一点吧？还是你们希望像全民炫舞一样圈一波钱就关服？？？？？大家都在等这个手游变好！可是你们是怎么做的？我真的希望你们不要再消费我们的情怀了真的大家都不是傻子继续玩这游戏就是因为端游和朋友。真的希望你们真的能看到我们的反馈并且认真的去解决问题！不要再伤害玩家的心了！对你们又有什么好处？,negative
为啥男生的嘴角会是垮下去的(´｀;)名片上和在社区里嘴角都是垮下去的(´｀;),positive
给4星的原因呢，我想说一下，从节奏大师到恋舞ol再到炫舞，个人觉得优化做得不够，虽然我不卡，但是看见很多玩家都说卡，然后就是人物模型做的不好，没有3D感觉，希望能把人物模型做的更加精致一点。但是炫舞的弹珠模式是挺新颖的，有可玩性。,positive
服务器人满根本进不去,negative
玩炫舞7年从小学到大学希望手游不让人失望…,positive
玩了有一段时间，游戏整体来说不错，节奏卡的很准，画面也可以，曲库也很丰富。但我发现好像舞蹈都不是在原曲舞蹈的基础上改编的，看不到原版舞蹈的一点影子，我认为既然游戏名叫QQ炫舞，玩家很大一部分都是冲着舞蹈来的，然而不管什么歌曲舞蹈都大同小异就好像节奏大师加了几种舞蹈，而且有原版舞蹈的音乐就用原版的舞蹈对歌曲也是一种尊重，希望官方能改进，先给四星。,positive
虽然我端游玩的少但是这游戏一上线我就下来玩了只能说体验极差,negative
"总评四星！,画面满分，可以捏脸好评。,顺便一提我是男生，为啥玩这款游戏?,初中时，为了追到自己喜欢的女孩，陪她一直打端游的QQ炫舞和音速，每次晚上回去睡觉前偷偷打开电脑，手拙的我笨笨的按着键，经常被她嘲笑哈哈，我是一个游戏天赋并不高的男生，也不知道为什么会乐此不疲的陪她一直跳舞。如今我快步入社会，心里依旧记得那时的夜晚。,感谢QQ炫舞，给我的初中留下了一份最纯真的回忆。,但对于游戏来说,耐玩度应该设法增加!,跳舞类型的手游市场潜力值是非常大的，希望能多多听取玩家的意见，让这款游戏越办越好。,制作组也不容易，辛苦了!在感谢你们为我们带来游戏的同时，也希望你们继续加油＾０＾~",positive
手感是真的烂，真的回归非主流？,negative
抽一天了不给衣服不给丝带已经有的东西重复出十多次！就是不给想要的你哪怕出一个心里也好受一点觉得安慰一点点呵呵这游戏这么伤透人心谁愿意玩谁就继续玩吧累了！,negative
游戏不平衡全大P分数比没带技能少5万分,negative
"大区逐舞之梦，,1:我的手机玩着会出现突然显示网络重连，特别是在蹦的时候，绝对不是手机跟网的原因,2:我老婆的苹果手机会突然的闪退，蹦的时候也是,3:他妈的挂机的***怎么那么多，我马上晋级就来一个***挂机，举报也没见什么作用,4:最烦一点就是为啥不把传统模式改到排位里？",negative
"这款音游很不错一星扣在跳舞动作和......,等等我可不可以扣半颗星,跳舞动作有点尴尬。。不是说跳的丑的问题，而是速度快的歌跳的也快，然后...就有点像抽搐了emmmmmm,我时不时瞄一眼觉得有点辣眼睛,穿模不喷，以后尽力做好吧,66继续加油啊！",positive
还不错,positive
其实更想要炫舞时代出手游的，更喜欢炫舞时代的人物形象和服装(～o～)Y,positive
质量还没恋舞好,negative
童年的回忆。虽然这个游戏氪金氪的飞起，但是一种情怀吧。为了一些明明看起来很奇怪的衣服鞋子无限氪。我玩的是端游，主氪炫舞时代（QQ炫舞2？）,negative
啥也不说了卸载，三千进去，一个飞行鸡翅都不给，关键是什么，ntm好歹给我个徽章啊。***，一点心思没有了🙃这吊游戏真没法玩了。氪金氪个半死，还没有不充的玩的好🙃概率吃屎的吗，我氪三千，鎏金之门全他妈给了脚光，牛逼牛逼，社会社会，卸载🙃在下我是狗。,negative
"还是挺喜欢的。,除了游戏的时候不卡，在其他的页面卡成ppd。,领个任务能卡半年，看了其他大佬说的，大致上也就是这样。,建议尽早修复卡顿。,祝炫舞越做越好。,以上。",positive
人物丑，音乐打击感差，真的失望。一星给情怀。,negative
我很喜欢这种游戏。以前玩过端游，但没电脑玩不成，现在出了手游，我很期待，我经常玩恋舞，希望多交点朋友😘,positive
比比画画斤斤计较纪念馆反反复复反反复复犹犹豫豫小心翼翼斤斤计较那么容易满足员工需求和要求？我也想知道什么的是不是可以接受预定、那就不要说你是什么时候了。我们是否有时间一起吃火锅去咯！你是谁了？我们要好好的学习生活水平不断提高产品品质女装短袖职业女性品牌内衣少女们一起看有没有你想什么事我也要去做生意就是为了自己喜欢你这样对你好是理所当然？嗯……在于我们对彼此说什么好方法……那天,positive
哇塞，麻辣土豆国服终于出了！不过我怎么找不到抽卡的地方啊(滑稽),negative
当年被班上那几个女的虐惨了，说让你一只手你也玩不过，我特么还没话反驳(*꒦ິ⌓꒦ີ),positive
排位爆气去掉了，才能挽回玩家。,positive
因评价参考价值不足被折叠,negative
玩了两天，11级。。。。。。没有玩下去的动力了。。。。。,negative
我为什么一直显示充值失败？？？前几天充值还可以，现在一直显示失败，怎么办,positive
不用玩就知道，辣鸡。,negative
苹果系统问题很多,positive
"很久以前玩的电脑游戏,几乎是占据了我很大一部分童年,疯狂肝了好几年,手速有得到了质的提升,但是后来游戏的花样越来越多，有点目不接暇了,听说出了手游，硬是挤出时间，玩了一段时间,总体来说，感觉一般,当年敲键盘的快感和带感的舞蹈音乐几乎没了,和飞车不同，炫舞的手游是质疑很大的,飞车的手游我也玩过，体验感很强,捏脸系统个人非常喜欢，服装想必以后也会慢慢改善,顺便提一下，真的不是穿的越花越闪就越好看.........",positive
